FASE,SUBFASE,SITUACIÓN,QUÉ DECIR (PALABRAS EXACTAS),NOTAS / CONTEXTO
ANTES DE SALIR,Regla #1,Lo que NUNCA dices,"Nunca digas: ""inteligencia artificial"", ""IA"", ""bot"", ""robot""",Dispara desconfianza y miedo en dueñas de salón
ANTES DE SALIR,Regla #2,Lo que NUNCA dices,"Nunca compares Floux con una recepcionista (""mejor que tu recepcionista"")",Dispara reacción defensiva sobre su gestión
ANTES DE SALIR,Regla #3,Lo que SIEMPRE dices,"Usa: ""sistema"", ""asistente"", ""asistente del salón"", ""tecnología""",Términos neutrales que no generan rechazo
ANTES DE SALIR,Regla #4,La frase core,"""Recuperamos las clientas que llaman cuando no puedes coger el teléfono""",Apréndetela de memoria — es tu ancla
ANTES DE SALIR,Regla #5,La demo es el argumento,"Sin demo, no hay venta. Todo lo demás es preparar el terreno para la demo.",La demo cierra sola si el pitch funciona

1 - PRIMER CONTACTO,Horario ideal,Cuándo ir,"11:30-12:30 o 17:30-18:30 — huecos de baja carga, entre citas",Nunca: 10h apertura / 13-14h cierre mañana / sábado mañana
1 - PRIMER CONTACTO,Entrada,Cómo entrar,"Entra despacio, no como vendedor. Mira alrededor. Si la dueña tiene las manos en el pelo de alguien, espera o vuelve.",Si ves señal roja (manos mojadas/tinte/pintura): di ""ahora no es buen momento, vuelvo luego"" y vete sin dejar nada

1 - PRIMER CONTACTO,Apertura A,Dueña tranquila y disponible,"""Hola, buenas. Soy Max. Tengo un sistema para salones que recupera las llamadas que se pierden cuando estáis liadas. ¿Tienes dos minutos para que te enseñe cómo funciona?""",No digas el nombre de la empresa en los primeros 5 segundos. Vas directo al beneficio.
1 - PRIMER CONTACTO,Apertura B,Dueña parece ocupada pero sin manos llenas,"""Hola, perdona que te interrumpa. Soy Max, tengo algo que le interesa a salones como el tuyo — dos minutos ¿o mejor vuelvo?""","Si dice ""vuelves"", concreta: ""¿Te viene bien esta tarde a las seis?"""
1 - PRIMER CONTACTO,Apertura C (hook),Si tienes research previo (reseña negativa),"""Vi que tenéis una reseña de enero donde una clienta dice que llamó varias veces y no le cogieron. Acabó yendo a otra peluquería. Eso es lo que me dedico a arreglar. ¿Tienes dos minutos?""",El hook específico DOBLA la atención. Prepáralo antes de entrar.

